Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,71.49,13.9,5.088,-0.30783,1.160e-2,0.02,0.0032,864,2.579e-4,2.579e-4,2.579e-4,0_14:3.464e-2; 0_1:1.150e-2,0_14:519.111; 0_1:853.333
Q1,140.52,93.77,4.981,-0.30902,1.220e-2,0.0092,0.0152,864,1.817e-4,1.817e-4,1.817e-4,1_2:6.365e-3; 1_0:1.150e-2,1_2:298.667; 1_0:817.778
Q2,79.18,17.8,4.892,-0.3104,1.670e-2,0.0212,0.0122,864,2.530e-4,2.530e-4,2.530e-4,2_3:1.086e-2; 2_1:6.365e-3,2_3:618.667; 2_1:334.222
Q3,102.11,34.26,4.945,-0.27711,5.630e-2,0.0622,0.0504,864,4.453e-4,4.453e-4,4.453e-4,3_2:1.086e-2; 3_4:1.000e+0,3_2:654.222; 3_4:604.444
Q4,127.34,115.95,4.984,-0.32195,1.770e-1,0.1792,0.1748,864,1.503e-3,1.503e-3,1.503e-3,4_15:1.512e-2; 4_5:2.438e-2; 4_3:1.000e+0,4_15:689.778; 4_5:881.778; 4_3:640
Q5,75.29,75.97,4.882,-0.31039,5.090e-2,0.047,0.0548,864,6.567e-4,6.567e-4,6.567e-4,5_6:9.240e-3; 5_4:2.438e-2,5_6:405.333; 5_4:846.222
Q6,112,150.36,4.969,-0.30806,9.300e-3,0.012,0.0066,864,3.423e-4,3.423e-4,3.423e-4,6_7:9.683e-3; 6_5:9.240e-3,6_7:455.111; 6_5:369.778
Q7,52.41,56.33,5.015,-0.30824,1.110e-2,0.0134,0.0088,864,3.196e-4,3.196e-4,3.196e-4,7_6:9.683e-3; 7_8:9.634e-3,7_6:419.556; 7_8:533.333
Q8,97.72,137.59,5.111,-0.3073,1.330e-2,0.013,0.0136,864,3.499e-4,3.499e-4,3.499e-4,8_16:4.240e-2; 8_7:9.634e-3,8_16:391.111; 8_7:568.889
Q9,138.63,153.3,4.97,-0.30941,1.258e-1,0.099,0.1526,864,8.925e-3,8.925e-3,8.925e-3,9_10:1.000e+0,9_10:426.667
Q10,80.58,27.69,4.876,-0.31036,5.850e-2,0.0736,0.0434,864,5.960e-3,5.960e-3,5.960e-3,10_11:8.899e-2; 10_9:1.000e+0,10_11:405.333; 10_9:462.222
Q11,139.87,47.03,5.127,-0.30673,1.256e-1,0.1094,0.1418,864,2.167e-3,2.167e-3,2.167e-3,11_12:5.618e-2; 11_10:8.899e-2,11_12:1344; 11_10:369.778
Q12,101.57,120.96,4.83,-0.31113,2.559e-1,0.2388,0.273,864,2.099e-3,2.099e-3,2.099e-3,12_11:5.618e-2; 12_13:9.719e-3; 12_17:1.000e+0,12_11:1308.444; 12_13:398.222; 12_17:1187.556
Q13,108.64,18.52,4.95,-0.30876,2.510e-2,0.045,0.0052,864,3.976e-4,3.976e-4,3.976e-4,13_12:9.719e-3,13_12:362.667
Q14,101.45,113.12,4.995,-0.30886,9.400e-3,0.0098,0.009,864,2.163e-4,2.163e-4,2.163e-4,14_0:3.464e-2; 14_18:7.323e-3,14_0:483.556; 14_18:355.556
Q15,96.44,61.11,5.118,-0.30738,2.950e-2,0.0284,0.0306,864,4.099e-4,4.099e-4,4.099e-4,15_22:2.702e-2; 15_4:1.512e-2,15_22:1080.889; 15_4:654.222
Q16,96.91,128.28,4.918,-0.3091,5.000e-3,0.0064,0.0036,864,1.991e-4,1.991e-4,1.991e-4,16_8:4.240e-2; 16_26:7.584e-3,16_8:426.667; 16_26:348.444
Q17,152.5,152.4,5.003,-0.30763,2.940e-2,0.015,0.0438,864,4.859e-4,4.859e-4,4.859e-4,17_30:1.067e-2; 17_12:1.000e+0,17_30:384; 17_12:1152
Q18,60.75,98.31,4.866,-0.31125,4.250e-2,0.0538,0.0312,864,1.962e-4,1.962e-4,1.962e-4,18_19:8.405e-3; 18_14:7.323e-3,18_19:405.333; 18_14:391.111
Q19,105.19,106.68,5.104,-0.30768,1.990e-2,0.021,0.0188,864,2.034e-4,2.034e-4,2.034e-4,19_18:8.405e-3; 19_20:5.733e-3,19_18:369.778; 19_20:348.444
Q20,95.56,124.87,4.902,-0.30965,4.100e-3,0.006,0.0022,864,1.985e-4,1.985e-4,1.985e-4,20_33:8.749e-3; 20_19:5.733e-3; 20_21:1.415e-2,20_33:398.222; 20_19:384; 20_21:810.667
Q21,105.3,138.82,5.04,-0.30739,4.270e-2,0.0488,0.0366,864,1.378e-3,1.378e-3,1.378e-3,21_22:2.159e-2; 21_20:1.415e-2,21_22:590.222; 21_20:846.222
Q22,70.4,38.68,4.973,-0.30076,1.670e-2,0.0162,0.0172,864,4.531e-3,4.531e-3,4.531e-3,22_23:1.595e-2; 22_21:2.159e-2; 22_15:2.702e-2,22_23:583.111; 22_21:625.778; 22_15:1116.444
Q23,117.7,139.27,5.033,-0.30851,1.197e-1,0.1242,0.1152,864,4.737e-4,4.737e-4,4.737e-4,23_24:1.243e-2; 23_22:1.595e-2,23_24:846.222; 23_22:547.556
Q24,114.56,165.54,4.767,-0.30398,2.320e-2,0.0262,0.0202,864,1.432e-3,1.432e-3,1.432e-3,24_34:1.099e-2; 24_23:1.243e-2; 24_25:8.865e-3,24_34:952.889; 24_23:881.778; 24_25:455.111
Q25,147.15,199.66,4.87,-0.31089,1.260e-2,0.0148,0.0104,864,2.310e-4,2.310e-4,2.310e-4,25_26:1.176e-2; 25_24:8.865e-3,25_26:462.222; 25_24:419.556
